iata,icao,name,city,country,lat,lon,elev_m,tz
EWR,KEWR,Newark Liberty International Airport,Newark,US,40.68940,-74.17055,5,America/New_York
EXT,EGTE,Exeter International Airport,"Exeter, Devon",GB,50.73426,-3.41398,31,Europe/London
EYK,USHQ,Beloyarskiy Airport,,RU,63.68690,66.69860,25,Asia/Yekaterinburg
EYP,SKYP,El Alcaravan - Yopal Airport,Yopal,CO,5.31911,-72.38400,313,America/Bogota
EYW,KEYW,Key West International Airport,Key West,US,24.55612,-81.75958,1,America/New_York
EZE,SAEZ,Ezeiza International Airport - Ministro Pistarini,Buenos Aires (Ezeiza),AR,-34.82220,-58.53580,20,America/Argentina/Buenos_Aires
EZS,LTCA,Elazığ Airport,Elazığ,TR,38.59797,39.28348,892,Europe/Istanbul
FAE,EKVG,Vágar Airport,Vágar,FO,62.06326,-7.27578,85,Atlantic/Faroe
FAI,PAFA,Fairbanks International Airport,Fairbanks,US,64.81510,-147.85600,134,America/Anchorage
FAO,LPFR,Faro - Gago Coutinho International Airport,Faro,PT,37.01591,-7.97094,7,Europe/Lisbon
FAR,KFAR,Hector International Airport,Fargo,US,46.92070,-96.81580,275,America/Chicago
FAT,KFAT,Fresno Yosemite International Airport,Fresno,US,36.77577,-119.71802,102,America/Los_Angeles
FAV,NTGF,Fakarava Airport,,PF,-16.05410,-145.65700,4,Pacific/Tahiti
FAY,KFAY,Fayetteville Regional Airport - Grannis Field,Fayetteville,US,34.99120,-78.88030,58,America/New_York
FBM,FZQA,Lubumbashi International Airport,Lubumbashi,CD,-11.59149,27.53075,1309,Africa/Lubumbashi
FCA,KGPI,Glacier Park International Airport,Kalispell,US,48.31050,-114.25600,907,America/Denver
FCN,ETMN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,Wurster Nordseeküste,DE,53.76769,8.65920,23,Europe/Berlin
FCO,LIRF,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,IT,41.80453,12.25200,4,Europe/Rome
FDF,TFFF,Martinique Aimé Césaire International Airport,Fort-de-France,MQ,14.59100,-61.00320,5,America/Martinique
FDH,EDNY,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.67130,9.51149,417,Europe/Berlin
FDU,FZBO,Bandundu Airport,Bandundu,CD,-3.31132,17.38170,324,Africa/Kinshasa
FEG,UZFF,Fergana International Airport,Fergana,UZ,40.35880,71.74500,604,Asia/Tashkent
FEN,SBFN,Fernando de Noronha Airport,Fernando de Noronha,BR,-3.85453,-32.42302,59,America/Noronha
FEZ,GMFF,Fes Saïss International Airport,Saïss,MA,33.92730,-4.97796,579,Africa/Casablanca
FGU,NTGB,Fangatau Airport,Fangatau,PF,-15.82004,-140.88807,3,Pacific/Tahiti
FIH,FZAA,Ndjili International Airport,Kinshasa,CD,-4.38575,15.44460,313,Africa/Kinshasa
FIZ,YFTZ,Fitzroy Crossing Airport,,AU,-18.18360,125.55978,112,Australia/Perth
FJR,OMFJ,Fujairah International Airport,Fujairah,AE,25.10841,56.32806,46,Asia/Dubai
FKB,EDSB,Karlsruhe Baden-Baden Airport,Rheinmünster,DE,48.77940,8.08050,124,Europe/Berlin
